Year	  Age	 mx	  qx	   ax	 lx	    dx	  Lx	 Tx	  ex
2018      0      0.00329  0.00329  0.14  100000     329   99718  8369226  83.69         
2018      1      0.00022  0.00022  0.50   99671      22   99661  8269507  82.97         
2018      2      0.00013  0.00013  0.50   99650      13   99643  8169847  81.99         
2018      3      0.00015  0.00015  0.50   99636      15   99629  8070204  81.00         
2018      4      0.00011  0.00011  0.50   99622      11   99616  7970575  80.01         
2018      5      0.00008  0.00008  0.50   99611       8   99607  7870958  79.02         
2018      6      0.00009  0.00009  0.50   99603       9   99598  7771352  78.02         
2018      7      0.00005  0.00005  0.50   99594       5   99592  7671753  77.03         
2018      8      0.00009  0.00009  0.50   99589       9   99585  7572162  76.03         
2018      9      0.00005  0.00005  0.50   99580       5   99578  7472577  75.04         
2018     10      0.00003  0.00003  0.50   99576       3   99574  7372999  74.04         
2018     11      0.00005  0.00005  0.50   99573       5   99570  7273425  73.05         
2018     12      0.00005  0.00005  0.50   99568       5   99566  7173854  72.05         
2018     13      0.00014  0.00014  0.50   99563      14   99556  7074289  71.05         
2018     14      0.00005  0.00005  0.50   99549       5   99547  6974732  70.06         
2018     15      0.00010  0.00010  0.50   99544      10   99539  6875186  69.07         
2018     16      0.00013  0.00013  0.50   99534      13   99528  6775647  68.07         
2018     17      0.00013  0.00013  0.50   99521      13   99515  6676119  67.08         
2018     18      0.00018  0.00018  0.50   99508      18   99499  6576604  66.09         
2018     19      0.00021  0.00021  0.50   99491      21   99480  6477105  65.10         
2018     20      0.00008  0.00008  0.50   99470       8   99466  6377624  64.12         
2018     21      0.00021  0.00021  0.50   99462      21   99452  6278158  63.12         
2018     22      0.00023  0.00023  0.50   99441      23   99430  6178706  62.13         
2018     23      0.00020  0.00020  0.50   99418      19   99409  6079277  61.15         
2018     24      0.00026  0.00026  0.50   99399      26   99386  5979868  60.16         
2018     25      0.00029  0.00029  0.50   99373      29   99359  5880482  59.18         
2018     26      0.00019  0.00019  0.50   99344      19   99335  5781123  58.19         
2018     27      0.00022  0.00022  0.50   99326      22   99315  5681788  57.20         
2018     28      0.00023  0.00023  0.50   99303      22   99292  5582473  56.22         
2018     29      0.00027  0.00027  0.50   99281      27   99268  5483181  55.23         
2018     30      0.00023  0.00023  0.50   99254      23   99243  5383913  54.24         
2018     31      0.00028  0.00028  0.50   99232      28   99218  5284670  53.26         
2018     32      0.00041  0.00041  0.50   99204      41   99183  5185453  52.27         
