Year	       Age	 mx	  qx	   ax	 lx	    dx	  Lx	 Tx	  ex
2018           0      0.00414  0.00413  0.14  100000     413   99645  7921699  79.22  
2018           1      0.00024  0.00024  0.50   99587      24   99575  7822054  78.54  
2018           2      0.00025  0.00025  0.50   99563      25   99550  7722479  77.56  
2018           3      0.00009  0.00009  0.50   99538       9   99533  7622928  76.58  
2018           4      0.00008  0.00008  0.50   99529       8   99525  7523395  75.59  
2018           5      0.00004  0.00004  0.50   99521       4   99519  7423870  74.60  
2018           6      0.00016  0.00016  0.50   99517      16   99509  7324351  73.60  
2018           7      0.00012  0.00012  0.50   99501      12   99495  7224842  72.61  
2018           8      0.00004  0.00004  0.50   99489       4   99487  7125348  71.62  
2018           9      0.00009  0.00009  0.50   99485       9   99480  7025861  70.62  
2018          10      0.00010  0.00010  0.50   99476      10   99471  6926380  69.63  
2018          11      0.00013  0.00013  0.50   99466      13   99459  6826909  68.64  
2018          12      0.00008  0.00008  0.50   99453       7   99449  6727450  67.64  
2018          13      0.00009  0.00009  0.50   99445       9   99441  6628001  66.65  
2018          14      0.00012  0.00012  0.50   99436      12   99430  6528560  65.66  
2018          15      0.00016  0.00016  0.50   99424      16   99416  6429130  64.66  
2018          16      0.00019  0.00019  0.50   99408      19   99399  6329714  63.67  
2018          17      0.00024  0.00024  0.50   99389      24   99377  6230315  62.69  
2018          18      0.00020  0.00020  0.50   99365      20   99355  6130938  61.70  
2018          19      0.00052  0.00052  0.50   99345      51   99320  6031583  60.71  
2018          20      0.00064  0.00064  0.50   99294      64   99262  5932263  59.74  
2018          21      0.00038  0.00038  0.50   99230      38   99211  5833000  58.78  
2018          22      0.00060  0.00060  0.50   99193      59   99163  5733789  57.80  
2018          23      0.00045  0.00045  0.50   99133      44   99111  5634626  56.84  
2018          24      0.00065  0.00065  0.50   99089      64   99057  5535515  55.86  
2018          25      0.00050  0.00050  0.50   99025      50   99000  5436458  54.90  
2018          26      0.00064  0.00064  0.50   98975      64   98943  5337458  53.93  
2018          27      0.00055  0.00055  0.50   98911      54   98884  5238516  52.96  
2018          28      0.00061  0.00061  0.50   98857      60   98827  5139632  51.99  
2018          29      0.00048  0.00048  0.50   98797      47   98773  5040805  51.02  
2018          30      0.00082  0.00082  0.50   98749      81   98709  4942032  50.05  
2018          31      0.00083  0.00083  0.50   98669      82   98628  4843323  49.09  
2018          32      0.00076  0.00076  0.50   98587      75   98549  4744695  48.13  
2018          33      0.00066  0.00066  0.50   98511      65   98479  4646146  47.16  
2018          34      0.00072  0.00072  0.50   98447      71   98411  4547667  46.19  
2018          35      0.00085  0.00085  0.50   98376      83   98334  4449256  45.23  
2018          36      0.00103  0.00103  0.50   98293     101   98242  4350922  44.26  
2018          37      0.00103  0.00103  0.50   98192     101   98141  4252679  43.31  
2018          38      0.00113  0.00113  0.50   98091     111   98035  4154538  42.35  
2018          39      0.00127  0.00127  0.50   97979     124   97917  4056503  41.40  
2018          40      0.00119  0.00119  0.50   97855     116   97797  3958586  40.45  
2018          41      0.00115  0.00115  0.50   97739     113   97682  3860789  39.50  
2018          42      0.00162  0.00162  0.50   97626     158   97547  3763106  38.55  
2018          43      0.00144  0.00144  0.50   97468     140   97398  3665559  37.61  
2018          44      0.00168  0.00168  0.50   97327     163   97246  3568162  36.66  
2018          45      0.00174  0.00174  0.50   97164     169   97080  3470916  35.72  
2018          46      0.00203  0.00203  0.50   96996     197   96897  3373836  34.78  
2018          47      0.00241  0.00240  0.50   96798     233   96682  3276939  33.85  
2018          48      0.00266  0.00266  0.50   96566     257   96437  3180257  32.93  
2018          49      0.00284  0.00284  0.50   96309     273   96172  3083820  32.02  
2018          50      0.00279  0.00279  0.50   96036     268   95902  2987647  31.11  
2018          51      0.00338  0.00337  0.50   95768     323   95606  2891746  30.20  
2018          52      0.00346  0.00346  0.50   95445     330   95280  2796139  29.30  
2018          53      0.00378  0.00378  0.50   95115     359   94935  2700860  28.40  
2018          54      0.00472  0.00471  0.50   94756     447   94532  2605924  27.50  
2018          55      0.00503  0.00502  0.50   94309     473   94072  2511392  26.63  
2018          56      0.00554  0.00553  0.50   93836     519   93576  2417320  25.76  
2018          57      0.00624  0.00622  0.50   93317     580   93027  2323743  24.90  
2018          58      0.00680  0.00677  0.50   92737     628   92423  2230716  24.05  
2018          59      0.00724  0.00722  0.50   92109     665   91776  2138294  23.21  
2018          60      0.00825  0.00821  0.50   91444     751   91068  2046517  22.38  
2018          61      0.00914  0.00910  0.50   90693     825   90280  1955449  21.56  
2018          62      0.01045  0.01040  0.50   89868     935   89401  1865169  20.75  
2018          63      0.01092  0.01086  0.50   88933     966   88450  1775768  19.97  
2018          64      0.01288  0.01280  0.50   87967    1126   87404  1687318  19.18  
2018          65      0.01379  0.01370  0.50   86841    1189   86246  1599914  18.42  
2018          66      0.01436  0.01426  0.50   85652    1221   85041  1513668  17.67  
2018          67      0.01647  0.01633  0.50   84430    1379   83741  1428627  16.92  
2018          68      0.01798  0.01782  0.50   83051    1480   82311  1344886  16.19  
2018          69      0.01860  0.01843  0.50   81571    1503   80820  1262574  15.48  
2018          70      0.02102  0.02081  0.50   80068    1666   79235  1181755  14.76  
2018          71      0.02271  0.02246  0.50   78402    1761   77522  1102520  14.06  
2018          72      0.02422  0.02393  0.50   76642    1834   75725  1024998  13.37  
2018          73      0.02705  0.02669  0.50   74807    1996   73809   949273  12.69  
2018          74      0.02967  0.02924  0.50   72811    2129   71746   875464  12.02  
2018          75      0.03224  0.03173  0.50   70682    2243   69560   803717  11.37  
2018          76      0.03553  0.03491  0.50   68439    2389   67244   734157  10.73  
2018          77      0.04148  0.04064  0.50   66050    2684   64708   666912  10.10  
2018          78      0.04417  0.04321  0.50   63366    2738   61996   602205   9.50  
2018          79      0.05023  0.04900  0.50   60627    2971   59142   540208   8.91  
2018          80      0.05484  0.05338  0.50   57656    3077   56118   481066   8.34  
2018          81      0.06316  0.06123  0.50   54579    3342   52908   424949   7.79  
2018          82      0.07083  0.06841  0.50   51237    3505   49485   372041   7.26  
2018          83      0.07736  0.07448  0.50   47732    3555   45955   322556   6.76  
2018          84      0.09103  0.08707  0.50   44177    3847   42254   276601   6.26  
2018          85      0.10067  0.09584  0.50   40331    3865   38398   234347   5.81  
2018          86      0.11618  0.10980  0.50   36465    4004   34463   195949   5.37  
2018          87      0.13101  0.12295  0.50   32461    3991   30466   161486   4.97  
2018          88      0.15130  0.14066  0.50   28470    4005   26468   131020   4.60  
2018          89      0.16562  0.15295  0.50   24465    3742   22594   104553   4.27  
2018          90      0.18606  0.17022  0.50   20723    3528   18960    81958   3.95  
2018          91      0.20526  0.18615  0.50   17196    3201   15595    62999   3.66  
2018          92      0.23471  0.21006  0.50   13995    2940   12525    47403   3.39  
2018          93      0.25241  0.22413  0.50   11055    2478    9816    34878   3.15  
2018          94      0.27173  0.23923  0.50    8577    2052    7551    25062   2.92  
2018          95      0.31409  0.27146  0.50    6525    1771    5640    17511   2.68  
2018          96      0.34467  0.29400  0.50    4754    1398    4055    11871   2.50  
2018          97      0.37659  0.31692  0.50    3356    1064    2824     7816   2.33  
2018          98      0.40962  0.33999  0.50    2293     779    1903     4992   2.18  
2018          99      0.44349  0.36300  0.50    1513     549    1239     3089   2.04  
2018         100      0.47789  0.38572  0.50     964     372     778     1850   1.92  
2018         101      0.51250  0.40796  0.50     592     242     471     1072   1.81  
2018         102      0.54699  0.42952  0.50     351     151     275      601   1.71  
2018         103      0.58104  0.45024  0.50     200      90     155      326   1.63  
2018         104      0.61433  0.46997  0.50     110      52      84      171   1.55  
2018         105      0.64659  0.48862  0.50      58      28      44       87   1.48  
2018         106      0.67756  0.50610  0.50      30      15      22       42   1.43  
2018         107      0.70705  0.52238  0.50      15       8      11       20   1.37  
2018         108      0.73490  0.53742  0.50       7       4       5        9   1.33  
2018         109      0.76099  0.55125  0.50       3       2       2        4   1.30  
2018         110      0.78527  1.00000  1.27       1       1       2        2   1.27  
